backend,solver,benchmark,instance,status,result,real,time,user,system,memory,status800,par10,par2
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,1qbf-5cnf-20var-80cl.0.qdimacs.ch.aspq,complete,0,1.8,0.77,0.64,0.13,64.3,complete,1.8,1.8
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,1qbf-5cnf-40var-1280cl.8.qdimacs.ch.aspq,complete,0,2.554,1.16,0.96,0.2,102.9,complete,2.554,2.554
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,1qbf-5cnf-40var-160cl.5.qdimacs.ch.aspq,complete,0,1.991,0.86,0.68,0.18,67.9,complete,1.991,1.991
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,1qbf-5cnf-40var-320cl.1.qdimacs.ch.aspq,complete,0,2.354,0.88,0.73,0.15,70.4,complete,2.354,2.354
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,1qbf-5cnf-40var-640cl.8.qdimacs.ch.aspq,complete,0,2.332,0.97,0.83,0.14,75.2,complete,2.332,2.332
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,1qbf-5cnf-80var-320cl.3.qdimacs.ch.aspq,complete,0,2.262,0.87,0.74,0.13,70.7,complete,2.262,2.262
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,2qbf-5cnf-100var-1600cl.2.qdimacs.ch.aspq,complete,0,2.868,1.25,1.03,0.22,101.9,complete,2.868,2.868
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,2qbf-5cnf-40var-80cl.2.qdimacs.ch.aspq,complete,0,2.324,0.93,0.75,0.18,66.7,complete,2.324,2.324
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,2qbf-5cnf-50var-100cl.2.qdimacs.ch.aspq,complete,0,2.356,0.9,0.74,0.16,65.9,complete,2.356,2.356
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,3qbf-5cnf-100var-1800cl.2.qdimacs.ch.aspq,complete,0,3.584,1.46,1.22,0.24,114.4,complete,3.584,3.584
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,3qbf-5cnf-100var-600cl.2.qdimacs.ch.aspq,complete,0,2.84,1.39,1.08,0.31,85.1,complete,2.84,2.84
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,3qbf-5cnf-150var-2700cl.2.qdimacs.ch.aspq,complete,0,3.58,1.78,1.42,0.36,132.8,complete,3.58,3.58
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,3qbf-5cnf-160var-320cl.2.qdimacs.ch.aspq,complete,0,1.772,1.22,1.01,0.21,76.7,complete,1.772,1.772
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,3qbf-5cnf-160var-640cl.9.qdimacs.ch.aspq,complete,0,2.08,1.21,0.97,0.24,93.4,complete,2.08,2.08
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,3qbf-5cnf-20var-160cl.1.qdimacs.ch.aspq,complete,0,2.293,1.1,0.82,0.28,73.2,complete,2.293,2.293
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,3qbf-5cnf-20var-640cl.3.qdimacs.ch.aspq,complete,0,2.377,1.18,0.9,0.28,76.5,complete,2.377,2.377
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,3qbf-5cnf-40var-160cl.6.qdimacs.ch.aspq,complete,0,2.295,1.1,0.82,0.28,71.6,complete,2.295,2.295
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,3qbf-5cnf-40var-640cl.3.qdimacs.ch.aspq,complete,0,2.617,1.19,0.95,0.24,82.8,complete,2.617,2.617
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,3qbf-5cnf-40var-640cl.8.qdimacs.ch.aspq,complete,0,2.556,1.38,1.1,0.28,82.5,complete,2.556,2.556
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,3qbf-5cnf-40var-80cl.5.qdimacs.ch.aspq,complete,0,2.334,1.07,0.79,0.28,68.7,complete,2.334,2.334
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,3qbf-5cnf-50var-100cl.1.qdimacs.ch.aspq,complete,0,2.041,1.03,0.76,0.27,67.8,complete,2.041,2.041
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,3qbf-5cnf-80var-1280cl.4.qdimacs.ch.aspq,complete,0,2.551,1.36,1.08,0.28,107.8,complete,2.551,2.551
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,3qbf-5cnf-80var-160cl.0.qdimacs.ch.aspq,complete,0,1.803,1.22,0.98,0.24,69.9,complete,1.803,1.803
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,4qbf-5cnf-100var-400cl.2.qdimacs.ch.aspq,complete,0,2.054,1.21,0.96,0.25,77.7,complete,2.054,2.054
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,4qbf-5cnf-20var-320cl.0.qdimacs.ch.aspq,complete,0,2.036,1.25,0.92,0.33,77.1,complete,2.036,2.036
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,4qbf-5cnf-20var-640cl.4.qdimacs.ch.aspq,complete,0,1.816,1.32,1.01,0.31,82.8,complete,1.816,1.816
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,4qbf-5cnf-20var-80cl.9.qdimacs.ch.aspq,complete,0,1.823,1.08,0.81,0.27,65.8,complete,1.823,1.823
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,4qbf-5cnf-40var-80cl.8.qdimacs.ch.aspq,complete,0,2.353,1.24,0.94,0.3,68.8,complete,2.353,2.353
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,4qbf-5cnf-50var-900cl.2.qdimacs.ch.aspq,complete,0,3.308,1.46,1.17,0.29,98.8,complete,3.308,3.308
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,5qbf-5cnf-100var-1800cl.1.qdimacs.ch.aspq,complete,0,4.314,2.11,1.68,0.43,129.3,complete,4.314,4.314
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,5qbf-5cnf-150var-1800cl.2.qdimacs.ch.aspq,complete,0,4.367,1.78,1.42,0.36,121.7,complete,4.367,4.367
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,5qbf-5cnf-160var-2560cl.1.qdimacs.ch.aspq,complete,0,8.618,5.62,5.09,0.53,158.9,complete,8.618,8.618
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,5qbf-5cnf-50var-400cl.2.qdimacs.ch.aspq,complete,0,4.332,1.76,1.36,0.4,81.4,complete,4.332,4.332
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,5qbf-5cnf-80var-1280cl.5.qdimacs.ch.aspq,complete,0,4.568,2.08,1.6,0.48,117,complete,4.568,4.568
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,5qbf-5cnf-80var-320cl.8.qdimacs.ch.aspq,complete,0,3.796,1.46,1.08,0.38,76.2,complete,3.796,3.796
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,6qbf-5cnf-160var-1280cl.2.qdimacs.ch.aspq,outof time,143,1202.485,1200.18,1199,1.18,150.8,outof time,8000,1600
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,6qbf-5cnf-160var-5120cl.4.qdimacs.ch.aspq,complete,0,6.034,3.51,2.96,0.55,189.2,complete,6.034,6.034
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,6qbf-5cnf-20var-640cl.4.qdimacs.ch.aspq,complete,0,4.076,1.6,1.2,0.4,80.9,complete,4.076,4.076
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,6qbf-5cnf-40var-320cl.6.qdimacs.ch.aspq,complete,0,3.807,1.67,1.24,0.43,78.9,complete,3.807,3.807
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,6qbf-5cnf-40var-320cl.9.qdimacs.ch.aspq,complete,0,12.396,10.61,10.1,0.51,99,complete,12.396,12.396
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,6qbf-5cnf-40var-640cl.1.qdimacs.ch.aspq,complete,0,2.545,1.55,1.19,0.36,85.8,complete,2.545,2.545
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,6qbf-5cnf-40var-80cl.0.qdimacs.ch.aspq,complete,0,1.558,1.2,0.98,0.22,69.3,complete,1.558,1.558
depqbf-blo.bash,qasp.depqbf-blo.bash,fullQBFSelection.ch.aspq,6s215rb0_c0to15.unsat.qdimacs.ch.aspq,complete,0,694.699,692.63,680.82,11.81,927.7,complete,694.699,694.699
